Casemiro,BRA,MF,30,11,7,712.0,1.0,1.0,0.0,2.0,0.0,0.5,0.8,Manchester-United
Scott McTominay,SCO,MF,25,12,6,640.0,0.0,0.0,0.0,5.0,0.0,0.7,0.2,Manchester-United
Tyrell Malacia,NED,DF,23,9,6,567.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Manchester-United
Antony,BRA,"FW,MF",22,6,6,491.0,3.0,0.0,0.0,1.0,0.0,1.6,0.4,Manchester-United
Anthony Elanga,SWE,FW,20,10,5,369.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8,Manchester-United
Cristiano Ronaldo,POR,FW,37,10,4,525.0,1.0,0.0,0.0,2.0,0.0,1.9,0.4,Manchester-United
Fred,BRA,MF,29,11,4,398.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,Manchester-United
Victor Lindelöf,SWE,DF,28,5,3,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Harry Maguire,ENG,DF,29,4,3,281.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Manchester-United
Anthony Martial,FRA,"FW,MF",26,5,2,201.0,2.0,2.0,1.0,0.0,0.0,1.7,0.8,Manchester-United
Donny van de Beek,NED,MF,25,4,1,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Alejandro Garnacho,ESP,FW,18,3,1,84.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,Manchester-United
Aaron Wan-Bissaka,ENG,DF,25,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-United
Nathan Bishop,ENG,GK,23,0,0,0,0,0,0,0,0,0,0,Manchester-United
Martin Dúbravka,SVK,GK,33,0,0,0,0,0,0,0,0,0,0,Manchester-United
James Garner,ENG,MF,21,0,0,0,0,0,0,0,0,0,0,Manchester-United
Tom Heaton,ENG,GK,36,0,0,0,0,0,0,0,0,0,0,Manchester-United
Zidane Iqbal,IRQ,MF,19,0,0,0,0,0,0,0,0,0,0,Manchester-United
Matej Kovar,CZE,GK,22,0,0,0,0,0,0,0,0,0,0,Manchester-United
Kobbie Mainoo,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Manchester-United
Facundo Pellistri,URU,FW,20,0,0,0,0,0,0,0,0,0,0,Manchester-United
Shola Shoretire,ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Manchester-United
Alisson,BRA,GK,30,14,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,Liverpool
Virgil van Dijk,NED,DF,31,14,14,1260.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Liverpool
Mohamed Salah,EGY,FW,30,14,14,1236.0,6.0,3.0,0.0,0.0,0.0,7.0,2.2,Liverpool
Trent Alexander-Arnold,ENG,DF,24,14,12,989.0,1.0,0.0,0.0,2.0,0.0,1.1,2.2,Liverpool
Fabinho,BRA,MF,29,14,11,997.0,0.0,0.0,0.0,2.0,0.0,0.2,0.5,Liverpool
Roberto Firmino,BRA,"FW,MF",31,13,11,929.0,7.0,3.0,0.0,0.0,0.0,4.2,1.8,Liverpool
Andrew Robertson,SCO,DF,28,12,10,861.0,0.0,4.0,0.0,0.0,0.0,0.4,2.4,Liverpool
Harvey Elliott,ENG,MF,19,14,10,859.0,1.0,1.0,0.0,0.0,0.0,1.0,2.2,Liverpool
Joe Gomez,ENG,DF,25,12,9,887.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,Liverpool
Thiago Alcántara,ESP,MF,31,8,8,644.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,Liverpool
Jordan Henderson,ENG,MF,32,12,7,648.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,Liverpool
Luis Díaz,COL,FW,25,8,7,613.0,3.0,2.0,0.0,2.0,0.0,1.7,1.0,Liverpool
Darwin Núñez,URU,FW,23,10,7,604.0,5.0,2.0,0.0,0.0,1.0,4.7,2.3,Liverpool
James Milner,ENG,"DF,MF",36,12,4,469.0,0.0,1.0,0.0,0.0,0.0,0.3,0.7,Liverpool
Kostas Tsimikas,GRE,DF,26,10,4,367.0,0.0,3.0,0.0,1.0,0.0,0.2,0.7,Liverpool
Fabio Carvalho,POR,"MF,FW",20,11,4,337.0,2.0,0.0,0.0,0.0,0.0,1.1,0.1,Liverpool
Joël Matip,CMR,DF,31,4,3,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Diogo Jota,POR,"FW,MF",25,4,2,196.0,0.0,1.0,0.0,1.0,0.0,0.8,0.8,Liverpool
Curtis Jones,ENG,MF,21,4,1,172.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,Liverpool
Ibrahima Konaté,FRA,DF,23,2,1,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Nathaniel Phillips,ENG,DF,25,2,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Alex Oxlade-Chamberlain,ENG,FW,29,3,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Liverpool
Stefan Bajcetic,ESP,MF,18,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Bobby Clark,ENG,MF,17,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Adrián,ESP,GK,35,0,0,0,0,0,0,0,0,0,0,Liverpool
Luke Chambers,ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Liverpool
Harvey Davies,ENG,GK,19,0,0,0,0,0,0,0,0,0,0,Liverpool
Sepp van den Berg,NED,"DF,MF",20,0,0,0,0,0,0,0,0,0,0,Liverpool
Ben Doak,SCO,FW,17,0,0,0,0,0,0,0,0,0,0,Liverpool
Naby Keïta,GUI,MF,27,0,0,0,0,0,0,0,0,0,0,Liverpool
